court_number_link,court_number,style_of_cause,nature_of_proceeding,re_link
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1016-02,T-1016-02,CANADIAN OLYMPIC COMMITTEE ET AL v. THE REGISTRAR OF TRADE-MARKS ET AL,Trade Mark - Appeal of a decision of the Registrar,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1016-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1011-02,T-1011-02,412233 ONTARIO LTD. v. ADVANCE MAGAZINE PUBLISHERS INC.,Trade Mark - Appeal of a decision of the Registrar,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1011-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1000-02,T-1000-02,SEDORE ENTERPRISES LTD ET AL v. KOHLMANS MACHINE AND WELDING LTD ET AL,Patent Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1000-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-987-02,T-987-02,LIBMAN & COMPANY LIMITED v. LITO JOSEPH (COB AS GOLD MASTER),Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-987-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-979-02,T-979-02,FASHION GROUP S.N.C. DI BERTONCELLO MARIA LUISA E MICHELA & C v. DEX BROS.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-979-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-968-02,T-968-02,CALVIN KLEIN TRADEMARK TRUST ET AL v. COHOES FASHIONS INC.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-968-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-969-02,T-969-02,FOX RACING INC. ET AL v. DENIS OUELLET & NOELLA PELLETIER,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-969-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-966-02,T-966-02,NIKE CANADA LTD. & NIKE INTERNATIONAL LTD. v. JOHN DOE ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-966-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-964-02,T-964-02,TRADER PUBLICATIONS CORP. v. MIKE ROSS (OTTOTRADER.COM),Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-964-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-958-02,T-958-02,SUNBEAM PRODUCTS INC. v. MISTER COFFEE & SERVICES INC.,Trade Mark Opposition,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-958-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-947-02,T-947-02,BOOMERANG TRACKING INC. ET AL. v. 9008-0417 QUEBEC INC. ET AL.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-947-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-946-02,T-946-02,BOOMERANG TRACKING INC./REPÉRAGE BOOMERANG INC. v. LOCATION BOOMERANG INC.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-946-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-944-02,T-944-02,HIGH-TOUCH COMMUNICATIONS INC. v. LOGITECH INTERNATIONAL S.A. ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-944-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-923-02,T-923-02,BLUEDOT JEANSWEAR COMPANY INC. v. 9013-0501 QUEBEC INC.,Trade Mark - Appeal of a decision of the Registrar,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-923-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-902-02,T-902-02,"HOLT, RENFREW & CO., LIMITED v. 1118951 ONTARIO INC. ET AL",Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-902-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-865-02,T-865-02,BAYER AKTIENGESELLSCHAFT ET AL v. PFIZER RESEARCH AND DEV. CO. NV/SA,Patent Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-865-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-846-02,T-846-02,WOR INTERNATIONAL INC. v. INTERNATIONAL CLOTHIERS INC. ET AL,Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-846-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-838-02,T-838-02,FERRARI S.P.A. & FILA CANADA INC v. JANE DOE ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-838-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-828-02,T-828-02,MONTAGUE INDUSTRIES INC. v. DOYLE MACHINING CORP. ET AL.,Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-828-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-827-02,T-827-02,"MICROSOFT CORPORATION v. MGS COMPUTERS LIMITED, ET AL",Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-827-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-823-02,T-823-02,SALTY DOG CAFÉ INC. ET AL v. 436319 B.C. LIMITED ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-823-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-819-02,T-819-02,ANTONIO PRECISE PRODUCTS MANUFACTORY LTD.  v. DAMIN TRADE CANADA INC. ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-819-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-806-02,T-806-02,MONTAGUE INDUSTRIES INC. v. DINGWELL'S MACHINERY AND SUPPLY LIMITED,Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-806-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-802-02,T-802-02,HANSON INTERNATIONAL INC. ET AL v. WHIRLEY INDUSTRIES INC. ET AL,Patent Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-802-02&select_court=T
